epoch,phase,train_loss,val_loss,val_macro_auc_roc,val_macro_auc_pr,val_macro_f1,lr_groups,time_sec
1,frozen_head,0.6847472121305268,0.6514681132774909,0.7006066882600674,0.3975072275697423,0.31258399713824536,[0.0003],958.8323225975037
2,frozen_head,0.6725026145450783,0.6462106212737069,0.7039999315884489,0.39998340864765314,0.32290709836273096,[0.0003],932.9933774471283
3,frozen_head,0.6695256153740485,0.6405381985418547,0.7078009819022861,0.40546947647620596,0.34876610500706123,[0.0003],927.4188196659088
4,fine_tuning,0.614470358407923,0.5764040765415305,0.7823140323476028,0.5012843174381161,0.45863393101337524,"[1e-05, 0.0001]",1546.1158330440521
5,fine_tuning,0.5833151318105313,0.5703929666334181,0.7902174510818113,0.5159956196678218,0.47016971554290266,"[1e-05, 0.0001]",1581.429233789444
6,fine_tuning,0.5703580006398317,0.562548841445451,0.7957247973637773,0.5237660020325963,0.4883151350446667,"[1e-05, 0.0001]",1593.6810986995697
7,fine_tuning,0.5604081395274102,0.56665877077505,0.7967090131075066,0.5264303916126274,0.4989516213135272,"[1e-05, 0.0001]",1541.1022572517395
8,fine_tuning,0.5521645765208135,0.5587364769189006,0.7985734197061826,0.5334381017284305,0.5208615064864084,"[1e-05, 0.0001]",1536.710125207901
9,fine_tuning,0.5424630060909676,0.5605388237941619,0.7977795811585228,0.5341681205782275,0.5113743694622317,"[1e-05, 0.0001]",1523.2570352554321
10,fine_tuning,0.532891641085344,0.5675881337807709,0.7940807360711247,0.5295572722417299,0.5159717211095078,"[1e-05, 0.0001]",1577.8612093925476
11,fine_tuning,0.5211661454156427,0.5686062066286306,0.7919696009141639,0.5245009907630068,0.5115850102425634,"[1e-05, 0.0001]",1520.7472245693207
12,fine_tuning,0.5089274328650861,0.5840314614882283,0.7882782434367515,0.520333243780715,0.5092196907919959,"[3e-06, 3e-05]",1443.7259645462036
13,fine_tuning,0.4824172856427529,0.6012843891545376,0.7821964839475954,0.5157696944247474,0.5008284950313759,"[3e-06, 3e-05]",1440.0219900608063
14,fine_tuning,0.4740492912822694,0.6146308282921863,0.781646241121143,0.5140095573433594,0.506605170173058,"[3e-06, 3e-05]",1476.4634857177734
